type,release_year,rating,country,listed_in
0,2020,7,600,271
1,2021,11,424,410
1,2021,11,733,239
1,2021,11,733,294
1,2021,11,251,389
1,2021,11,733,494
0,2021,6,733,120
0,1993,11,660,315
1,2021,9,503,114
0,2021,7,600,194
1,2021,11,733,232
1,2021,11,733,239
0,2021,11,218,322
0,2021,12,733,124
1,2021,11,733,96
1,2021,11,600,483
0,2020,11,733,278
1,2020,11,340,250
0,2021,9,733,508
1,2021,11,733,394
1,2021,9,733,232
1,2018,9,489,401
0,1996,12,733,214
0,2021,13,733,120
0,1998,9,251,217
1,2021,9,15,290
0,1997,12,733,216
0,2010,7,600,182
0,2013,7,600,353
0,2013,7,670,508
0,2021,9,733,315
1,2021,11,733,482
1,2020,11,503,108
1,2021,11,733,412
1,2020,14,733,418
0,2021,11,733,328
0,2021,11,733,39
1,2018,14,156,429
0,2017,7,106,36
1,2021,14,251,418
1,2021,14,600,435
0,1975,6,600,17
0,1978,6,600,313
0,1983,6,600,48
0,1987,7,600,48
0,2021,6,733,271
0,2012,8,431,0
1,2020,11,733,389
0,2001,8,600,340
1,2021,11,366,408
1,2014,12,251,411
0,2002,9,317,5
0,2003,9,317,5
0,2004,12,317,5
0,2001,12,317,5
1,2021,12,600,442
0,2011,9,317,5
0,2008,12,317,5
0,2009,12,317,5
0,2007,12,317,5
0,2010,9,317,5
0,2005,12,317,5
0,2006,12,317,5
0,2004,12,317,5
0,2021,12,733,120
1,2021,13,503,418
1,2014,10,251,289
1,1994,12,600,429
0,2021,9,733,281
1,2015,12,251,408
1,2021,11,733,382
0,2021,13,733,120
1,2021,11,503,100
0,2018,11,366,322
1,2021,12,733,442
0,2021,10,733,120
1,2013,9,317,80
0,2021,14,733,124
0,2020,9,733,197
0,2021,9,733,197
0,2021,14,733,120
0,2021,8,600,0
1,2021,9,600,257
1,2021,11,733,442
0,2020,11,366,22
1,2021,14,733,86
0,2021,11,733,371
1,2019,13,733,419
0,2021,7,733,286
1,2017,14,733,418
0,2019,11,466,463
0,2021,9,162,278
1,2021,11,38,410
0,2021,11,733,325
0,2018,6,586,124
1,2021,11,715,442
0,2018,11,600,285
1,2021,14,600,431
1,2021,13,503,110
1,2021,11,206,483
1,2019,14,733,418
0,2021,11,600,286
1,2021,9,733,297
0,2020,11,733,328
1,2016,13,433,419
0,2017,9,251,22
1,2021,10,600,429
0,2018,3,600,137
1,2021,10,15,434
1,2021,11,441,238
1,2021,11,733,292
1,2021,13,702,418
0,2021,7,733,305
0,2021,12,733,227
0,1994,9,251,328
0,2009,6,507,333
0,2015,12,251,196
0,2021,7,586,271
0,2017,9,251,328
0,2020,11,733,325
1,2021,14,15,429
1,2019,9,733,389
0,2003,8,508,508
1,2012,14,733,418
1,2013,14,433,419
1,2021,11,600,252
0,2020,9,251,325
0,2004,6,618,124
0,2017,7,733,328
0,2005,7,228,305
0,2021,13,733,147
0,1982,8,600,16
1,2021,11,733,400
0,2015,8,429,60
0,1994,7,687,36
0,1993,8,680,0
0,2003,8,681,333
0,2001,6,30,20
0,2010,7,600,333
0,1989,8,600,161
0,2014,11,14,328
0,2015,8,717,0
0,2007,7,228,305
0,2011,7,600,60
0,1990,8,600,183
0,1991,8,600,189
0,1994,8,600,224
1,2021,12,733,442
1,2020,9,733,507
0,1998,8,600,20
0,1999,8,600,508
0,2005,9,108,52
0,2016,11,600,182
1,2016,13,405,418
1,2015,11,317,85
0,1986,6,586,10
0,2010,6,600,200
0,2018,9,58,463
0,2003,7,600,227
0,2010,11,239,197
1,1992,12,600,482
0,1996,7,600,190
0,2017,7,632,305
0,2003,8,600,227
0,1999,7,600,20
1,2019,11,733,238
0,1984,8,314,171
0,2008,6,618,124
0,2001,6,600,9
0,2006,7,600,36
0,1997,8,600,285
0,2017,7,600,306
0,2003,7,653,224
0,2015,7,600,282
0,2003,8,600,36
0,1980,8,600,333
0,1986,7,600,20
0,1961,9,586,14
0,2014,8,600,20
0,1996,7,600,227
0,2000,7,733,227
1,2021,9,733,288
0,2008,7,600,182
0,1993,8,600,14
1,2021,12,600,442
0,2021,11,733,286
1,2021,9,733,389
1,2021,10,733,405
0,2008,11,162,214
1,2020,13,733,429
0,2021,9,251,322
0,2017,8,517,314
0,2008,9,251,25
1,2021,11,1,408
1,2002,11,733,396
0,2008,9,251,197
0,2021,9,733,227
1,2021,14,733,429
1,2021,11,366,241
0,2006,9,251,197
0,2004,9,251,46
0,2003,9,251,328
0,2005,11,251,216
0,2016,11,251,214
0,2012,11,251,214
0,2001,9,251,218
0,2010,11,251,315
0,2008,9,251,53
0,2010,9,251,324
0,2013,9,251,324
0,2011,11,251,346
0,2014,11,251,346
1,2016,11,279,408
1,2021,12,733,289
0,2021,8,733,52
0,2007,11,251,39
0,2011,9,251,196
0,2011,9,251,197
1,2021,9,733,451
1,2021,9,317,80
1,2021,12,600,429
0,2021,9,733,271
1,2021,11,733,261
1,2021,11,733,232
1,2021,9,733,381
1,2021,11,733,410
1,2021,11,733,406
0,2020,11,600,318
0,2014,8,715,0
0,2020,11,600,341
0,2021,11,733,286
0,2021,6,600,137
1,2019,10,600,442
0,2021,11,503,285
1,2021,13,733,429
0,2021,12,733,284
0,2021,9,733,349
0,2021,9,733,349
0,2021,9,733,349
0,2021,9,733,349
0,2021,11,733,1
1,2021,9,600,495
1,2021,11,733,405
1,2021,11,733,395
0,2018,9,733,328
1,2021,12,733,289
0,2021,11,733,325
0,2021,8,600,36
1,2021,11,733,483
0,2021,14,733,130
0,2020,12,733,325
0,2011,7,600,318
0,2021,11,733,371
0,1995,9,251,325
1,2021,13,600,418
0,2021,11,733,278
0,2020,9,733,322
0,2015,9,733,325
0,2020,11,733,197
0,2018,12,262,197
1,2020,11,733,241
0,2021,9,733,217
0,2021,11,733,284
1,2016,13,600,418
0,2014,8,600,208
1,2018,9,317,81
1,2020,11,251,289
0,1993,8,362,172
0,2020,11,733,322
1,2015,14,301,418
0,2021,11,303,0
1,2021,11,600,494
1,2021,14,600,418
1,2021,11,162,241
1,2021,11,600,483
1,2021,11,2,238
1,2021,11,441,387
1,2021,9,321,413
0,2021,11,121,466
0,2021,12,683,2
1,2021,12,600,442
0,2016,9,366,214
0,2020,11,340,315
0,2021,7,43,278
0,2021,9,586,227
0,2013,8,475,322
1,2021,13,600,418
1,2021,9,733,389
1,2018,11,121,238
1,2019,9,433,390
0,2021,11,600,286
1,2021,9,317,80
0,2012,7,503,196
0,2021,11,424,217
0,2020,12,733,362
0,2021,7,600,20
1,2021,11,300,476
1,2021,11,251,507
0,2020,11,366,197
0,2021,9,162,343
0,2021,6,86,147
0,2013,9,251,25
0,2013,11,45,278
0,1985,11,2,187
0,2021,9,503,271
0,1993,11,9,173
0,2016,12,366,322
0,2021,11,600,341
0,2012,11,600,438
1,2021,12,733,442
1,2021,11,600,231
1,2021,11,340,396
1,2021,11,600,442
1,2009,9,480,390
0,1995,8,600,318
0,2010,11,696,322
1,2011,9,480,389
0,2021,7,600,282
0,2021,11,733,278
1,2005,9,480,389
1,2021,12,733,288
1,2013,9,480,389
1,2008,11,480,389
1,2012,9,600,482
1,2020,14,301,418
0,1992,6,600,124
0,1993,6,600,124
0,2007,7,715,60
0,2016,8,53,0
0,2002,7,618,305
0,2009,6,618,132
1,2020,11,733,84
0,1999,8,687,47
0,1986,7,600,160
0,2019,7,600,333
0,2006,8,600,340
1,2010,9,733,501
0,2007,8,618,227
1,2014,9,317,80
0,2021,9,733,315
0,2010,7,715,62
0,1999,8,600,314
0,1995,7,600,182
0,1991,7,600,305
0,1994,6,600,126
0,2015,6,618,124
0,2008,8,600,20
0,2009,6,465,132
0,2019,7,586,182
0,2003,7,600,339
0,2000,7,600,41
0,2004,8,653,21
0,2016,8,629,194
0,2013,8,600,341
0,1991,8,600,20
0,2011,8,600,340
0,2010,7,640,0
0,2004,8,452,321
0,1995,7,600,508
0,2000,8,600,466
0,2010,7,600,227
1,2021,9,600,497
0,2018,9,733,322
0,2021,8,733,57
1,2021,14,733,429
0,2014,9,0,315
1,2021,9,503,104
0,2020,9,733,278
1,2009,9,733,381
1,2021,9,733,96
1,2021,11,600,478
0,2009,9,733,315
0,2021,11,733,52
0,2021,11,733,25
0,2013,12,366,217
0,2021,9,733,227
1,2021,14,733,75
0,2021,11,392,52
0,2019,9,600,271
1,2021,11,733,442
1,2021,9,600,254
1,2021,11,733,238
1,2021,9,600,501
0,2012,11,251,52
0,2021,9,733,508
1,2021,11,212,240
1,2021,13,618,418
0,2021,9,733,197
1,2021,11,733,468
0,2019,11,185,328
1,2019,11,600,154
1,2020,11,86,401
0,2012,8,600,36
0,2021,6,15,149
0,2021,11,733,315
0,2021,11,733,214
0,2021,11,733,46
1,2021,11,733,389
0,2021,11,733,349
1,2021,12,733,481
1,2021,12,733,90
1,2021,11,441,394
0,2021,11,503,333
1,2021,11,600,288
0,2021,11,733,271
0,2015,13,733,120
0,2013,14,733,120
0,2009,14,733,120
0,2011,14,733,120
0,2010,14,733,120
0,2013,14,251,120
0,2013,14,733,120
0,2013,14,733,120
0,2013,14,733,120
0,2012,14,733,120
0,2009,14,251,120
0,2013,14,733,120
0,2015,14,733,120
0,2019,13,733,120
0,2010,14,733,149
0,2012,14,733,120
0,2014,14,733,120
0,2011,14,733,120
0,2011,14,733,120
0,2012,14,733,120
1,2019,9,600,493
0,2021,11,361,305
0,2019,9,733,214
0,2021,10,733,67
0,2020,9,366,328
1,2021,9,733,104
1,2021,11,733,382
0,2021,14,733,120
0,2020,11,600,196
1,2020,11,2,150
1,2019,11,733,237
0,2021,9,410,325
0,2021,8,600,0
0,2020,12,733,325
0,2021,11,485,328
1,2021,11,600,297
0,2021,8,733,350
1,2021,14,618,429
0,1999,8,733,214
1,2021,9,733,288
0,2017,8,600,321
0,2017,7,600,305
0,2011,7,600,333
0,2012,7,600,333
0,2010,7,600,333
0,2009,7,600,333
0,2008,7,600,40
0,2021,12,272,197
1,2021,11,317,80
0,1983,11,733,183
0,2021,11,733,280
1,2019,9,433,389
0,2021,12,153,281
0,2021,9,733,325
1,2021,9,600,487
0,2007,6,618,133
0,2019,9,733,196
0,2019,11,600,271
0,2021,11,301,346
0,2021,8,733,20
1,2021,11,733,231
1,2021,11,733,442
0,2021,11,733,278
0,2021,11,733,197
0,2019,11,618,314
0,2021,9,733,438
0,2021,12,733,140
1,2021,13,600,418
0,2020,11,600,286
0,2015,8,711,20
0,2019,11,733,466
0,2016,11,733,193
1,2021,9,600,487
1,2021,11,212,411
0,2021,8,733,341
0,2020,9,733,197
0,2021,11,733,39
1,2021,11,733,288
0,2021,11,733,325
0,2021,10,733,466
0,2021,9,733,508
0,2016,6,240,132
1,2021,11,733,387
1,2021,9,600,458
0,2017,9,325,214
1,2021,11,733,232
0,2017,7,600,200
0,2018,7,600,333
1,2021,11,683,91
0,2015,8,600,224
0,2019,11,733,278
0,2014,7,178,52
1,2021,9,733,288
0,2020,11,733,322
1,2021,12,600,288
0,2021,11,733,52
0,2020,11,733,322
0,2010,9,366,325
1,2021,11,392,241
1,2021,11,733,395
0,2020,12,733,322
0,2021,10,15,365
0,2019,9,733,214
0,2019,11,194,322
1,2019,13,600,418
1,2016,9,58,410
1,2017,11,600,468
1,2007,14,165,418
1,2018,9,600,477
1,2019,11,503,108
1,2019,11,503,108
1,2021,11,485,410
1,2017,9,317,389
0,2020,9,251,322
1,2020,11,503,96
1,2021,11,600,482
1,2021,11,58,405
1,2015,14,405,420
1,2019,11,503,97
1,2019,11,317,408
1,2018,13,618,418
1,2019,11,600,483
1,2016,13,294,418
0,2012,9,251,325
0,1976,11,150,322
1,2015,10,600,429
0,2018,12,336,322
1,2019,11,600,263
1,2021,9,295,408
0,2019,10,272,322
